300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300.008 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 299.992 
300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300.017 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 299.983 
300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300.025 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 299.975 
300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300.033 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 299.967 
300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300.041 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 299.959 
300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300.05 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 299.95 
300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300.058 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 299.942 
300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300.066 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 299.934 
300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.075 300.074 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 299.925 
300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300.083 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 299.917 
300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300.091 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 299.909 
300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300.099 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 299.901 
300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300.108 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 299.892 
300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300.116 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 299.884 
300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300.124 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 299.876 
300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300.132 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 299.868 
300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300.141 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 299.859 
300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300.149 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 299.851 
